+ + + + + + + + + + + + + + + +
+ # # . . . . . . . . # # # + +
+ # # . . . . . . . . # # # + +
+ # # . . . . . . . . # # # + +
+ # # # # M0 M0 M0 M0 M0 M0 # L # + +
+ # # # # . . . . . . . . . + +
+ # # # # . . . . . . # # # . .
+ # # # # . . . . . . # # # . .
+ # # # # . . . . . . # # L . .
+ # # # l . . . . . . # # # . .
+ # # # . . . . . . . . . + i +
+ # # # . . . . . . . . . + i +
+ # # # . . . . . . . . . + i +
+ # # # . . . . p . . . . . i +
+ # # # . . . . . . . . . # # #
+ # # # # # . . . . # # # # # +
