+#+I+#+I+# +#+#+I+#+#+#+#+# +#+I+#+I+#+++# +#+#+I+#+#+++# +#+I+#+I+#+++# +#+#+I+#+#+++# +#+I+#+I+#+++# +#+#+#+#+#+++# +#++++#+++# +#++++#+++# +#++++#+++# +#+#+#+#+#+++# +#+I+#+I+#+#+#+# +#+#+#+#+# +++++# +
+++++# ++++#++++# +++++I +++++# +++++I +++++# +++++I +++++#+++# +++++I+++# +++++#+#+#+I +++++I+++# +++++I+++# ++++#+I +#+I+#+I+# +++++# +
+ +++++#+++# +++++# +#+#+#+#+l +#+#+#+l +#+#+l+++I +#+l++++# +#++++I+++# +#++++#+++I +#++++I +#++++#+++I +#++++#+++# + +#+#+I+#+# +++++# +
+ +++++#+++# +++++I +++++# +++++I +++++# +++++I +#++++#+++# +I++++I+++# +#++++#+l +I++++I+++# +#++++#+++# + +#+I+#+I+# + +
+ +++++#+++#+l +++++# +++++# +++++# +++++# +++++# +#++++#+++# +#++++#+++I +I++++I+#+l +#++++#+++I +#++++#+++# + +#+#+I+#+# + +
+ +++++#+#+#+#+# +++++#+I+#+I+# +++++#+#+I+#+# +++++#+I+#+I+# +++++#+#+#+#+# + +#++++#+++# +I++++I+++# +#++++#+I+#+l +I++++I+++# +#++++#+++# + +#+I+#+I+# + +
+ +++++# +++++I +++++# +++++I +++++#+I+#+I+# + +#++++#+#++# +#++++#+#++I +I++++#+#+I+# +#++++#+#++I +#++++#+#++# + +#+#+I+#+# + +
+ +++++# +++++#+M0 +++++I +++++# +++++#++I+#+# +++++# +#++++#+++# +I++++#+++# +#++++#+++I +I++++#+++# +#++++#+++# +++++# +#+I+#+I+# + +
+# +#++++# +#++++I +#++++# +#++++I +#++++#+I+#+I+# +# +#+#+#+#+#+#+#+# +#+#+I+#+I+#+I+# +I++#+I+#+I+#+# +#+#+I+#+I+#+I+# +#+#+#+#+#+#+#+# +++++# +#+#+I+#+# + +
+I +#++++#+# +I++++#+# +#++++#+# +I++++#+# +#++++#+#+I+#+# +I +# +I +# +I +# I +#+I+#+I+# + +
+#+p +I +# +I +# +I++++#+I+#+I+# +# +I +# +I +# I # +#+#+I+#+# + +
+I +# +I +# +I +#++++#+#+I+#+# +I +# +I +# +I +# I +#+I+#+I+#+L + +
+# +# +# +# +# +#++++#+I+#+I+# +# +# +# +# +# +# # +#+#+I+#+#+#+L + +
+ + + + + +++#+#+#+#+#+#+# +++#+I+#+I+#+#+L +++#+#+I+#+#+L +++#+I+#+I+# +++#+#+I+#+# +++#+I+#+I+# +++#+#+I+#+# +++#+I+#+I+# +#+#+#+#+#+#+# + +
+ + + + + + + + + + + + + + + +
+ + + + + + + + + + + + + + + +
