.+# .+# .+# .+# .+#+sh .+# .+# .+# .+# + + + + + + +
+ + + + + + + + .+# + + + + + + +
+ + + + + + + + .+# + + + + + + +
+ + + + + + + . .+# + + + + + + +
+ + + + + . . . .+# + + + + + + +
+ + + + . . . . .+# .+# .+# .+# .+# .+# .+# .+#
+ + + . . . . . . . . . . . . .
+ + + . . . . . . . . . . . . .
+ + + . . . . . . .+# .+# .+# .+# .+# .+# .+#
+ + . . . . . .+# .+# .+# .+# .+# .+# .+# .+# .+#
+ + . . . . .+# .+# .+# .+# .+# .+# .+# .+# .+# .+#
+ + . . . .+# .+# .+# .+#+# .+#+# .+#+# .+#+# .+# .+# .+# .+#+#
+ + . . . .+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+# .+# .+#+# .+#+#
+ + . . . .+# .+#+# .+#+# .+#+# .+#+# .+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+#
+ + . . . .+# .+#+# .+#+# .+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+#+# .+#+#+#+#
+ + . . . .+# .+#+# .+#+# .+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+# .+#+#+#+# .+#+#+#+# .+#+#+#+#
